_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
1338,JOURNAL OF RELIGION & HEALTH,0022-4197,1573-6571,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,287",1.90,Q3,2.49,8.51%
1339,JOURNAL OF COMMUNITY HEALTH,0094-5145,1573-3610,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,272",1.88,Q3,0.69,5.02%
1340,Arts & Health,1753-3015,1753-3023,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",430,1.85,Q3,0.51,2.60%
1341,EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,1362-5187,1473-0782,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,515",1.85,Q3,0.62,14.22%
1342,ETHNICITY & DISEASE,1049-510X,1945-0826,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,721",1.85,Q3,0.68,0.00%
1343,International Journal of Occupational Medicine and Environmental Health,1232-1087,1896-494X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,890",1.84,Q3,0.59,100.00%
1344,JOURNAL OF PUBLIC HEALTH DENTISTRY,0022-4006,1752-7325,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,142",1.82,Q3,0.7,2.33%
1345,Sahara J-Journal of Social Aspects of HIV-AIDS,1729-0376,1813-4424,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",430,1.82,Q3,0.54,100.00%
1346,Health Security,2326-5094,2326-5108,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",582,1.81,Q3,0.66,7.91%
1347,JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE,1078-4659,1550-5022,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,250",1.79,Q3,0.67,9.76%
1348,COMMUNITY MENTAL HEALTH JOURNAL,0010-3853,1573-2789,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,061",1.76,Q3,0.61,7.09%
1349,Rural and Remote Health,1445-6354,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,325",1.76,Q3; Q4,0.41,100.00%
1350,HEALTH RISK & SOCIETY,1369-8575,1469-8331,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,210",1.76,Q3,0.46,6.15%
1351,WOMEN & HEALTH,0363-0242,1541-0331,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,345",1.74,Q3,0.79,0.00%
1352,Journal of Epidemiology and Global Health,2210-6006,2210-6014,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",892,1.72,Q3; Q4,0.69,100.00%
1353,Journal of Agromedicine,1059-924X,1545-0813,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",942,1.68,Q4,0.57,2.42%
1354,Archives of Environmental & Occupational Health,1933-8244,2154-4700,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,459",1.66,Q4,0.5,2.84%
1355,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,0021-2571,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,459",1.66,Q4,0.51,100.00%
1356,Australian Journal of Rural Health,1038-5282,1440-1584,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,741",1.66,Q3; Q4,0.76,3.29%
1357,Journal of Primary Prevention,0278-095X,1573-6547,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,673",1.66,Q3,0.61,6.72%
1358,Cadernos de Saude Publica,0102-311X,1678-4464,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","7,250",1.63,Q4; Q4,0.45,100.00%
1359,EASTERN MEDITERRANEAN HEALTH JOURNAL,1020-3397,1687-1634,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,247",1.63,Q4,0.39,0.00%
1360,OCCUPATIONAL MEDICINE-OXFORD,0962-7480,1471-8405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","4,870",1.61,Q4,0.57,6.07%
1361,Health and Human Rights,1079-0969,2150-4113,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",829,1.55,Q4,0.47,100.00%
1362,HEALTH EDUCATION RESEARCH,0268-1153,1465-3648,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,992",1.54,Q4,0.78,6.43%
1363,ANNALS OF HUMAN BIOLOGY,0301-4460,1464-5033,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,667",1.53,Q4; Q4,0.65,5.07%
1364,Tobacco Regulatory Science,2333-9748,2333-9748,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",516,1.53,Q4; Q4,0.66,23.53%
1365,Disaster Prevention and Management,0965-3562,1758-6100,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,750",1.52,Q4,0.45,1.60%
1366,WILDERNESS & ENVIRONMENTAL MEDICINE,1080-6032,1545-1534,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,433",1.52,Q4,0.55,3.79%
1367,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,0749-6753,1099-1751,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,664",1.52,Q4,0.6,9.80%
1368,Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz,1436-9990,1437-1588,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,921",1.51,Q4,0.44,33.33%
1369,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1094-3412,1556-3308,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,596",1.51,Q4; Q4,0.68,5.14%
1370,WORK-A Journal of Prevention Assessment & Rehabilitation,1051-9815,1875-9270,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,609",1.51,Q4,0.48,0.16%
1371,International Journal of Injury Control and Safety Promotion,1745-7300,1745-7319,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",884,1.50,Q4,0.49,3.93%
1372,Traffic Injury Prevention,1538-9588,1538-957X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,273",1.49,Q4; Q4,0.53,9.76%
1373,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,1020-4989,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,882",1.47,Q4,0.31,100.00%
1374,PUBLIC HEALTH NURSING,0737-1209,1525-1446,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,923",1.46,Q4; Q4,0.72,4.04%
1375,JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,1049-2089,1548-6869,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,459",1.45,Q4,0.43,0.00%
1376,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,1232-1966,1898-2263,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,691",1.45,Q4,0.36,100.00%
1377,Iranian Journal of Public Health,2251-6085,2251-6093,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,611",1.43,Q4; Q4,0.4,0.00%
1378,FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,023",1.42,Q4,0.51,5.15%
1379,International Perspectives on Sexual and Reproductive Health,1944-0391,1944-0405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",823,1.42,Q4,0.46,0.00%
1380,Asia-Pacific Journal of Public Health,1010-5395,1941-2479,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,233",1.40,Q4; Q4,0.51,5.64%
1381,JOURNAL OF RADIOLOGICAL PROTECTION,0952-4746,1361-6498,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,438",1.39,Q4,0.54,12.76%
1382,Disaster Medicine and Public Health Preparedness,1935-7893,1938-744X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,444",1.39,Q4; Q4,0.5,10.99%
1383,Health Care for Women International,0739-9332,1096-4665,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,160",1.37,Q4,0.55,2.64%
1384,Ciencia & Saude Coletiva,1413-8123,1678-4561,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","6,630",1.34,Q4,0.4,100.00%
1385,HEALTH PHYSICS,0017-9078,1538-5159,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","5,109",1.32,Q4,0.48,4.31%
1386,Australian Journal of Primary Health,1448-7527,1836-7399,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,185",1.31,Q4; Q4,0.54,15.02%
1387,AJAR-African Journal of AIDS Research,1608-5906,1727-9445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",708,1.30,Q4; Q4,0.41,7.83%
1388,HEALTH EDUCATION JOURNAL,0017-8969,1748-8176,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,212",1.30,Q4,0.62,4.56%
1389,Medicina del Lavoro,0025-7818,0025-7818,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",596,1.28,Q4,0.35,0.00%
1390,Zdravstveno Varstvo,0351-0026,1854-2476,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",279,1.25,Q4,0.47,100.00%
1391,International Journal of Circumpolar Health,1239-9736,2242-3982,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,543",1.23,Q4; Q4,0.47,100.00%
1392,Asian Pacific Journal of Tropical Medicine,1995-7645,2352-4146,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,942",1.23,Q4,0.6,100.00%
1393,FLUORIDE,0015-4725,2253-4083,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,143",1.22,Q4,0.35,100.00%
1394,Geospatial Health,1827-1987,1970-7096,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",862,1.21,Q4,0.41,100.00%
1395,African Journal of Reproductive Health,1118-4841,2141-3606,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,379",1.21,Q4,0.33,0.00%
1396,Journal of Arthropod-Borne Diseases,2322-1984,2322-2271,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",536,1.20,Q4,0.39,100.00%
1397,Progress in Community Health Partnerships-Research Education and Action,1557-0541,1557-055X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",846,1.19,Q4,0.4,0.00%
1398,JOURNAL OF ENVIRONMENTAL HEALTH,0022-0892,0022-0892,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,178",1.18,Q4,0.18,0.00%
1399,Journal of Correctional Health Care,1078-3458,1940-5200,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",560,1.17,Q4,0.4,1.02%
1400,Central European Journal of Public Health,1210-7778,1803-1048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",995,1.16,Q4; Q4,0.33,0.00%
1401,Social Work in Public Health,1937-1918,1937-190X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",825,1.13,Q4,0.43,0.00%
1402,Longitudinal and Life Course Studies,1757-9597,1757-9597,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",440,1.10,Q4,0.65,5.56%
1403,Aerospace Medicine and Human Performance,2375-6314,2375-6322,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",732,1.05,Q4,0.29,1.80%
1404,Anthropology & Medicine,1364-8470,1469-2910,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",556,1.05,Q4,0.57,20.51%
1405,REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,0398-7620,1773-0627,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",899,1.02,Q4,0.26,1.33%
1406,RADIOPROTECTION,0033-8451,1769-700X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",649,1.02,Q4,0.39,39.84%
1407,GESUNDHEITSWESEN,0941-3790,1439-4421,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,679",1.00,Q4,0.34,13.67%
1408,RADIATION PROTECTION DOSIMETRY,0144-8420,1742-3406,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","6,949",0.97,Q4,0.35,2.19%
1409,CHILDRENS HEALTH CARE,0273-9615,1532-6888,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",657,0.94,Q4,0.35,0.00%
1410,Diving and Hyperbaric Medicine,1833-3516,1833-3516,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",399,0.89,Q4,0.46,0.00%
1411,Malawi Medical Journal,1995-7262,1995-7270,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,063",0.88,Q4,0.3,100.00%
1412,Noise & Health,1463-1741,1998-4030,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,564",0.87,Q4,0.43,100.00%
1413,Anales del Sistema Sanitario De Navarra,1137-6627,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",427,0.83,Q4; Q4,0.25,0.00%
1414,MEDYCYNA PRACY,0465-5893,2353-1339,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",659,0.76,Q4,0.27,100.00%
1415,Revista Espanola de Salud Publica,1135-5727,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",989,0.76,Q4,0.13,100.00%
1416,TROPICAL DOCTOR,0049-4755,1758-1133,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,086",0.73,Q4,0.25,1.40%
1417,Ethiopian Journal of Health Development,1021-6790,1021-6790,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",992,0.73,Q4; Q4,0.15,0.00%
1418,Puerto Rico Health Sciences Journal,0738-0658,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",393,0.71,Q4,0.2,0.00%
1419,Salud Colectiva,1851-8265,1851-8265,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",213,0.60,Q4,0.19,100.00%
1420,MEDICC Review,1555-7960,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",359,0.58,Q4; Q4,0.2,4.84%
1421,Journal of Mens Health,1875-6867,1875-6859,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",287,0.54,Q4; Q4,0.15,100.00%
1422,International Journal of Mental Health Promotion,1462-3730,2049-8543,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",387,0.50,Q4,0.32,59.09%
1423,Journal of Nepal Medical Association,0028-2715,1815-672X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",499,0.41,Q4,0.12,100.00%
1424,Saude e Sociedade,0104-1290,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",814,0.35,Q4,0.15,100.00%
1425,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,0125-1562,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,143",0.27,Q4,0.1,0.00%
1426,Archives des Maladies Professionnelles et de l Environnement,1775-8785,1778-4190,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",122,0.21,Q4,0.05,0.00%
1427,Sante Publique,0995-3914,2104-3841,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",418,0.20,Q4,0.08,0.00%
1428,Journal of Consumer Health on the Internet,1539-8285,1539-8293,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",168,n/a,n/a,0.14,0.93%
1429,Journal of Environmental and Public Health,1687-9805,1687-9813,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,656",n/a,n/a,0.84,100.00%
1430,International Journal of Transgender Health,2689-5269,2689-5277,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",36,n/a,Q4; Q4,n/a,14.06%
1431,Journal of Hunger & Environmental Nutrition,1932-0248,1932-0256,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",894,n/a,n/a,0.77,1.59%
1432,Clinical Social Work and Health Intervention,2222-386X,2076-9741,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",58,n/a,n/a,0.11,0.00%
1433,Epidemiology Biostatistics and Public Health,2282-2305,2282-0930,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",399,n/a,n/a,0.14,100.00%
1434,Gesundheitsoekonomie und Qualitaetsmanagement,1432-2625,1439-4049,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",80,n/a,n/a,0.08,1.16%
1435,Tropical Diseases Travel Medicine and Vaccines,2055-0936,2055-0936,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",212,n/a,n/a,0.73,100.00%
1436,Annals of Occupational and Environmental Medicine,2052-4374,2052-4374,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",670,n/a,n/a,0.52,100.00%
1437,INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE,0924-6479,1878-6847,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",292,n/a,n/a,0.51,0.00%
1438,International Journal of Workplace Health Management,1753-8351,1753-836X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",386,n/a,n/a,0.37,4.63%
1439,Giornale Italiano di Medicina del Lavoro ed Ergonomia,1592-7830,1592-7830,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",231,n/a,n/a,0.12,0.00%
1440,International Quarterly of Community Health Education,0272-684X,1541-3519,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",335,n/a,n/a,0.37,0.65%
1441,Indian Journal of Occupational and Environmental Medicine,0973-2284,1998-3670,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",123,n/a,n/a,0.35,0.00%
1442,International Journal of Migration Health and Social Care,1747-9894,2042-8650,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",258,n/a,n/a,0.25,1.98%
1443,Zentralblatt fur Arbeitsmedizin Arbeitsschutz und Ergonomie,0944-2502,2198-0713,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",92,n/a,n/a,0.13,17.61%
1444,International Journal of Occupational and Environmental Medicine,2008-6520,2008-6814,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",633,n/a,n/a,0.68,100.00%
1445,New Solutions-A Journal of Environmental and Occupational Health Policy,1048-2911,1541-3772,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",353,n/a,n/a,0.45,5.81%
1446,Cadernos Brasileiros de Terapia Ocupacional-Brazilian Journal of Occupational Therapy,2526-8910,2526-8910,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",96,n/a,n/a,0.13,100.00%
1447,Safety,N/A,2313-576X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",341,n/a,n/a,0.52,100.00%
1448,Sexologies,1158-1360,1878-1829,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",323,n/a,n/a,0.17,1.63%
1449,Health Scope,2251-8959,2251-9513,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",405,n/a,n/a,0.26,94.67%
1450,Mundo da Saude,0104-7809,1980-3990,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",152,n/a,n/a,0.03,0.00%
1451,Health Education,0965-4283,1758-714X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",921,n/a,n/a,0.38,1.11%
1452,Comunidad y Salud,1690-3293,1690-3293,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",20,n/a,n/a,0.03,0.00%
1453,Tobacco Use Insights,1179-173X,1179-173X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",109,n/a,n/a,0.55,100.00%
1454,PUBLIC HEALTH REVIEWS,N/A,2107-6952,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,083",n/a,n/a,0.88,100.00%
1455,SSM-Population Health,2352-8273,2352-8273,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","2,018",n/a,n/a,1.17,100.00%
1456,JMIR Research Protocols,1929-0748,1929-0748,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","2,885",n/a,n/a,0.67,100.00%
1457,Health Promotion Practice,1524-8399,1552-6372,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","2,640",n/a,n/a,0.5,3.20%
1458,Infection Disease & Health,2468-0451,2468-0451,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",264,n/a,n/a,0.7,14.58%
1459,Polish Hyperbaric Research,1734-7009,2084-0535,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",9,n/a,n/a,0.03,100.00%
1460,Revista de Salud Ambiental,1577-9572,1697-2791,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",46,n/a,n/a,0.11,100.00%
1461,PROGRESS IN PALLIATIVE CARE,0969-9260,1743-291X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",276,n/a,n/a,0.17,0.00%
1462,Pan African Medical Journal,1937-8688,1937-8688,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","4,481",n/a,n/a,0.19,90.46%
1463,ACS Chemical Health & Safety,N/A,1878-0504,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",36,n/a,n/a,n/a,0.00%
1464,Environmental Health Insights,1178-6302,1178-6302,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",406,n/a,n/a,0.62,100.00%
1465,Environnement Risques & Sante,1635-0421,1952-3998,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",99,n/a,n/a,0.04,0.00%
1466,Health Promotion Perspectives,2228-6497,2228-6497,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",652,n/a,n/a,0.61,100.00%
1467,International Maritime Health,1641-9251,2081-3252,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",434,n/a,n/a,0.23,100.00%
1468,Nepal Journal of Epidemiology,2091-0800,2091-0800,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",124,n/a,n/a,0.26,91.67%
1469,World Medical & Health Policy,1948-4682,1948-4682,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",255,n/a,n/a,0.29,3.61%
1470,Emerging Themes in Epidemiology,N/A,1742-7622,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",643,n/a,n/a,0.86,100.00%
1471,Indian Journal of Public Health,0019-557X,2229-7693,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,365",n/a,n/a,0.33,100.00%
1472,Journal of Health and Pollution,N/A,2156-9614,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",309,n/a,n/a,0.33,100.00%
1473,Journal of Public Mental Health,1746-5729,2042-8731,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",355,n/a,n/a,0.27,0.00%
1474,ACTA SCIENTIARUM-HEALTH SCIENCES,1679-9291,1807-8648,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",80,n/a,n/a,0.04,100.00%
1475,Revista de Salud Publica-Cordoba,1853-1180,1852-9429,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",23,n/a,n/a,0.03,100.00%
1476,Epidemiologia e Servicos de Saude,1679-4974,2237-9622,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,434",n/a,n/a,0.51,92.31%
