ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
1371,"	J Wound Care","	0969-0700"
1372,"	Infect Control Hosp Epidemiol","	0899-823x"
1373,"	Tuberculosis (Edinb)","	1472-9792"
1374,"	Rev Esp Salud Publica","	1135-5727"
1375,"	J Am Geriatr Soc","	0002-8614"
1376,"	J Pain Palliat Care Pharmacother","	1536-0288"
1377,"	Mil Med","	0026-4075"
1378,"	Scand J Rheumatol","	0300-9742"
1379,"	J Surg Res","	0022-4804"
1380,"	Jpn J Radiol","	1867-1071"
1381,"	BMC Musculoskelet Disord","	1471-2474"
1382,"	J Am Med Inform Assoc","	1067-5027"
1383,"	Environ Health","	1476-069x"
1384,"	Chest","	0012-3692"
1385,"	Ann Fam Med","	1544-1709"
1386,"	J Thromb Thrombolysis","	0929-5305"
1387,"	BMC Musculoskelet Disord","	1471-2474"
1388,"	J Biomed Inform","	1532-0464"
1389,"	Optom Vis Sci","	1040-5488"
1390,"	Inflamm Bowel Dis","	1078-0998"
1391,"	Anaesthesist","	0003-2417"
1392,"	BMC Med Inform Decis Mak","	1472-6947"
1393,"	Biochem Med (Zagreb)","	1330-0962"
1394,"	J Nephrol","	1121-8428"
1395,"	Child Care Health Dev","	0305-1862"
1396,"	Telemed J E Health","	1530-5627"
1397,"	Clin Infect Dis","	1058-4838"
1398,"	Reumatismo","	0048-7449"
1399,"	J Am Coll Surg","	1072-7515"
1400,"	J Clin Epidemiol","	0895-4356"
1401,"	Stud Health Technol Inform","	0926-9630"
1402,"	PLoS One","	1932-6203"
1403,"	Am J Med","	0002-9343"
1404,"	BMC Health Serv Res","	1472-6963"
1405,"	Cardiovasc Diabetol","	1475-2840"
1406,"	BMJ Open","	2044-6055"
1407,"	PLoS Med","	1549-1277"
1408,"	Med Decis Making","	0272-989X"
1409,"	J Neurosurg Pediatr","	1933-0707"
1410,"	West J Emerg Med","	1936-900X"
1411,"	Epidemiology","	1044-3983"
1412,"	Int Clin Psychopharmacol","	0268-1315"
1413,"	Klin Khir","	0023-2130"
1414,"	Eye (Lond)","	0950-222X"
1415,"	J Am Board Fam Med","	1557-2625"
1416,"	Respirology","	1323-7799"
1417,"	Stat Med","	0277-6715"
1418,"	Br J Gen Pract","	0960-1643"
1419,"	Int J Med Inform","	1386-5056"
1420,"	Acad Radiol","	1076-6332"
1421,"	J Am Coll Cardiol","	0735-1097"
1422,"	J Pain Symptom Manage","	0885-3924"
1423,"	Trials","	1745-6215"
1424,"	J Nurs Adm","	0002-0443"
1425,"	Trials","	1745-6215"
1426,"	Scand J Trauma Resusc Emerg Med","	1757-7241"
1427,"	Mult Scler Relat Disord","	2211-0348"
1428,"	Br J Gen Pract","	0960-1643"
1429,"	BMJ Qual Saf","	2044-5415"
1430,"	PLoS One","	1932-6203"
1431,"	Clin Nurse Spec","	0887-6274"
1432,"	BMC Public Health","	1471-2458"
1433,"	Future Cardiol","	1479-6678"
1434,"	Childs Nerv Syst","	0256-7040"
1435,"	Int J Clin Pharm","	"
1436,"	BMC Med Res Methodol","	1471-2288"
1437,"	Sci Rep","	2045-2322"
1438,"	Transfusion","	0041-1132"
1439,"	J Am Med Inform Assoc","	1067-5027"
1440,"	J Pediatr","	0022-3476"
1441,"	Singapore Med J","	0037-5675"
1442,"	Am J Emerg Med","	0735-6757"
1443,"	BMJ Open","	2044-6055"
1444,"	Nurs Res","	0029-6562"
1445,"	J Am Board Fam Med","	1557-2625"
1446,"	Schizophr Res","	0920-9964"
1447,"	Thorax","	0040-6376"
1448,"	Circulation","	0009-7322"
1449,"	J Antimicrob Chemother","	0305-7453"
1450,"	Spine (Phila Pa 1976)","	0362-2436"
1451,"	Stud Health Technol Inform","	0926-9630"
1452,"	Br J Cancer","	0007-0920"
1453,"	Transplantation","	0041-1337"
1454,"	Osteoporos Int","	0937-941x"
1455,"	J Med Syst","	0148-5598"
1456,"	AIDS Patient Care STDS","	1087-2914"
1457,"	Hosp Pediatr","	2154-1663"
1458,"	Pharmacotherapy","	0277-0008"
1459,"	J Natl Compr Canc Netw","	1540-1405"
1460,"	Nicotine Tob Res","	1462-2203"
1461,"	Allergy Asthma Proc","	1088-5412"
1462,"	Pediatrics","	0031-4005"
1463,"	PLoS One","	1932-6203"
1464,"	Sex Transm Dis","	0148-5717"
1465,"	BMJ Open","	2044-6055"
1466,"	Pharmacol Res Perspect","	2052-1707"
1467,"	Clin J Pain","	0749-8047"
1468,"	Rev Paul Pediatr","	0103-0582"
1469,"	PLoS One","	1932-6203"
1470,"	J Am Med Inform Assoc","	1067-5027"
1471,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1472,"	Fam Syst Health","	1091-7527"
1473,"	Acad Emerg Med","	1069-6563"
1474,"	Spine (Phila Pa 1976)","	0362-2436"
1475,"	Br J Gen Pract","	0960-1643"
1476,"	J Am Osteopath Assoc","	0098-6151"
1477,"	Singapore Med J","	0037-5675"
1478,"	Acta Diabetol","	0940-5429"
1479,"	Transfusion","	0041-1132"
1480,"	BMC Med Res Methodol","	1471-2288"
1481,"	Biometrics","	0006-341X"
1482,"	J Allergy Clin Immunol Pract","	2213-2198"
1483,"	Farm Hosp","	1130-6343"
1484,"	Biol Res Nurs","	1099-8004"
1485,"	BMC Musculoskelet Disord","	1471-2474"
1486,"	BMJ Open","	2044-6055"
1487,"	PLoS One","	1932-6203"
1488,"	BMC Med Inform Decis Mak","	1472-6947"
1489,"	BMC Health Serv Res","	1472-6963"
1490,"	Clin Infect Dis","	1058-4838"
1491,"	J Atheroscler Thromb","	1340-3478"
1492,"	Comput Inform Nurs","	1538-2931"
1493,"	PLoS One","	1932-6203"
1494,"	Implement Sci","	1748-5908"
1495,"	Eye (Lond)","	0950-222X"
1496,"	Arch Phys Med Rehabil","	0003-9993"
1497,"	BMC Fam Pract","	1471-2296"
1498,"	J Pain Symptom Manage","	0885-3924"
1499,"	J Child Psychol Psychiatry","	0021-9630"
1500,"	PLoS One","	1932-6203"
1501,"	Am J Health Syst Pharm","	1079-2082"
1502,"	Curr Med Res Opin","	0300-7995"
1503,"	J Pediatr Health Care","	0891-5245"
1504,"	Future Oncol","	1479-6694"
1505,"	Atherosclerosis","	0021-9150"
1506,"	Eur J Cancer","	0959-8049"
1507,"	Ophthalmology","	0161-6420"
1508,"	J Endod","	0099-2399"
1509,"	BMC Public Health","	1471-2458"
1510,"	Enferm Infecc Microbiol Clin","	0213-005x"
1511,"	BMC Nephrol","	1471-2369"
1512,"	AIDS Care","	0954-0121"
1513,"	Int J Clin Pharm","	"
1514,"	Ann Chir Plast Esthet","	0294-1260"
1515,"	Clin Lymphoma Myeloma Leuk","	2152-2669"
1516,"	J Am Med Inform Assoc","	1067-5027"
1517,"	BMC Med Inform Decis Mak","	1472-6947"
1518,"	Stat Med","	0277-6715"
1519,"	BMC Geriatr","	1471-2318"
1520,"	Health Inf Manag","	1833-3583"
1521,"	Medicina (B Aires)","	0025-7680"
1522,"	Am J Manag Care","	1088-0224"
1523,"	Clin Chem","	0009-9147"
1524,"	Pharmacogenomics J","	1470-269X"
1525,"	J Med Internet Res","	1439-4456"
1526,"	Int Endod J","	0143-2885"
1527,"	PLoS One","	1932-6203"
1528,"	J Am Pharm Assoc (2003)","	1086-5802"
1529,"	Inflamm Bowel Dis","	1078-0998"
1530,"	Sci Rep","	2045-2322"
1531,"	Drug Alcohol Depend","	0376-8716"
1532,"	Am J Prev Med","	0749-3797"
1533,"	Crit Care Med","	0090-3493"
1534,"	Int J Med Inform","	1386-5056"
1535,"	Allergy Asthma Proc","	1088-5412"
1536,"	Ann Vasc Surg","	0890-5096"
1537,"	J Thorac Cardiovasc Surg","	0022-5223"
1538,"	BMC Cardiovasc Disord","	1471-2261"
1539,"	Radiology","	0033-8419"
1540,"	Am J Med","	0002-9343"
1541,"	BMJ Open","	2044-6055"
1542,"	Plast Reconstr Surg","	0032-1052"
1543,"	Paediatr Anaesth","	1155-5645"
1544,"	BMJ Open","	2044-6055"
1545,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
1546,"	Ann Allergy Asthma Immunol","	1081-1206"
1547,"	Diabet Med","	0742-3071"
1548,"	Am J Health Syst Pharm","	1079-2082"
1549,"	J Emerg Med","	0736-4679"
1550,"	Am J Perinatol","	0735-1631"
1551,"	Glob Health Action","	1654-9716"
1552,"	BMC Med Res Methodol","	1471-2288"
1553,"	BMC Med Ethics","	1472-6939"
1554,"	Acad Pediatr","	1876-2859"
1555,"	J Vasc Surg","	0741-5214"
1556,"	J Pediatr Surg","	0022-3468"
1557,"	J Vasc Access","	1129-7298"
1558,"	Ann Surg Oncol","	1068-9265"
1559,"	Int Rev Psychiatry","	0954-0261"
1560,"	Prim Health Care Res Dev","	1463-4236"
1561,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1562,"	J Huntingtons Dis","	1879-6397"
1563,"	Am J Prev Med","	0749-3797"
1564,"	Anesthesiology","	0003-3022"
1565,"	BMC Neurol","	1471-2377"
1566,"	J Exp Med","	0022-1007"
1567,"	J Neurosurg Pediatr","	1933-0707"
1568,"	Rev Calid Asist","	1134-282x"
1569,"	J Clin Pharmacol","	0091-2700"
1570,"	Anesth Analg","	0003-2999"
1571,"	Arthritis Care Res (Hoboken)","	2151-464X"
1572,"	JAMA Pediatr","	2168-6203"
1573,"	PLoS One","	1932-6203"
1574,"	Int J Cardiol","	0167-5273"
1575,"	Eur J Oncol Nurs","	1462-3889"
1576,"	BMJ Open","	2044-6055"
1577,"	Am J Epidemiol","	0002-9262"
1578,"	BMC Psychiatry","	1471-244x"
1579,"	Can Fam Physician","	0008-350X"
1580,"	AMIA Annu Symp Proc","	1559-4076"
1581,"	Eur J Health Econ","	1618-7598"
1582,"	Ann Emerg Med","	0196-0644"
1583,"	BMC Nephrol","	1471-2369"
1584,"	Am J Health Syst Pharm","	1079-2082"
1585,"	J Am Board Fam Med","	1557-2625"
1586,"	Horm Cancer","	1868-8497"
1587,"	BMC Public Health","	1471-2458"
1588,"	Prim Care Diabetes","	1878-0210"
1589,"	J Am Pharm Assoc (2003)","	1086-5802"
1590,"	Headache","	0017-8748"
1591,"	BMC Gastroenterol","	1471-230x"
1592,"	Implement Sci","	1748-5908"
1593,"	Am J Hosp Palliat Care","	1049-9091"
1594,"	JAMA Netw Open","	2574-3805"
1595,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1596,"	Mov Disord","	0885-3185"
1597,"	BMC Public Health","	1471-2458"
1598,"	J Vasc Surg","	0741-5214"
1599,"	Nature","	0028-0836"
1600,"	Ann Epidemiol","	1047-2797"
1601,"	Farm Hosp","	1130-6343"
1602,"	HIV Med","	1464-2662"
1603,"	BMJ Qual Saf","	2044-5415"
1604,"	Res Social Adm Pharm","	1551-7411"
1605,"	J Vasc Surg Venous Lymphat Disord","	"
1606,"	PLoS One","	1932-6203"
1607,"	JAMA Neurol","	2168-6149"
1608,"	Int J Health Care Qual Assur","	0952-6862"
1609,"	J Telemed Telecare","	1357-633x"
1610,"	J Wound Ostomy Continence Nurs","	1071-5754"
1611,"	BMJ Open","	2044-6055"
1612,"	Ann Pharmacother","	1060-0280"
1613,"	Clin Rheumatol","	0770-3198"
1614,"	J Ir Dent Assoc","	0021-1133"
1615,"	Int J Epidemiol","	0300-5771"
1616,"	Am J Emerg Med","	0735-6757"
1617,"	J Obstet Gynaecol Res","	1341-8076"
1618,"	Anesth Analg","	0003-2999"
1619,"	JAMA Dermatol","	2168-6068"
1620,"	Bull Hosp Jt Dis (2013)","	2328-4633"
1621,"	Ann Med","	0785-3890"
1622,"	J Nutr Health Aging","	1279-7707"
1623,"	Adv Neonatal Care","	1536-0903"
1624,"	Aaps j","	1550-7416"
1625,"	Annu Int Conf IEEE Eng Med Biol Soc","	2375-7477"
1626,"	PLoS One","	1932-6203"
1627,"	Drugs Aging","	1170-229x"
1628,"	Rev Esp Salud Publica","	1135-5727"
1629,"	Harefuah","	0017-7768"
1630,"	Appl Clin Inform","	1869-0327"
1631,"	Stud Health Technol Inform","	0926-9630"
1632,"	J Gen Intern Med","	0884-8734"
1633,"	Neurosurg Focus","	1092-0684"
1634,"	J Diabetes Investig","	2040-1116"
1635,"	Nurs Res","	0029-6562"
1636,"	J Hum Nutr Diet","	0952-3871"
1637,"	Arthritis Care Res (Hoboken)","	2151-464x"
1638,"	Clin J Pain","	0749-8047"
1639,"	J Thromb Haemost","	1538-7836"
1640,"	Cardiol Young","	1047-9511"
1641,"	Int J Med Inform","	1386-5056"
1642,"	N Z Med J","	0028-8446"
1643,"	Encephale","	0013-7006"
1644,"	PLoS Med","	1549-1277"
1645,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1646,"	Nurs Res","	0029-6562"
1647,"	HPB (Oxford)","	1365-182X"
1648,"	Med Decis Making","	0272-989x"
1649,"	Clin Infect Dis","	1058-4838"
1650,"	Drug Saf","	0114-5916"
1651,"	Endocr Pract","	1530-891X"
1652,"	Eur J Intern Med","	0953-6205"
1653,"	Neurologia","	0213-4853"
1654,"	Int J Environ Health Res","	0960-3123"
1655,"	Circulation","	0009-7322"
1656,"	J Pediatr Endocrinol Metab","	0334-018x"
1657,"	Genet Med","	1098-3600"
1658,"	Clin Infect Dis","	1058-4838"
1659,"	Cancer Med","	2045-7634"
1660,"	J Pharm Pract","	0897-1900"
1661,"	Am J Kidney Dis","	0272-6386"
1662,"	Appl Clin Inform","	1869-0327"
1663,"	Nephrology (Carlton)","	1320-5358"
1664,"	Minerva Cardioangiol","	0026-4725"
1665,"	Curr Med Res Opin","	0300-7995"
1666,"	Arch Intern Med","	0003-9926"
1667,"	Med Care","	0025-7079"
1668,"	J Wound Ostomy Continence Nurs","	1071-5754"
1669,"	J Dent Educ","	0022-0337"
1670,"	J Nurs Scholarsh","	1527-6546"
1671,"	J Nepal Health Res Counc","	1727-5482"
1672,"	Biomed J","	2319-4170"
1673,"	Transfusion","	0041-1132"
1674,"	Emerg Med J","	1472-0205"
1675,"	Leuk Lymphoma","	1026-8022"
1676,"	Eur J Neurol","	1351-5101"
1677,"	Int J Qual Health Care","	1353-4505"
1678,"	Gesundheitswesen","	0941-3790"
1679,"	Pediatrics","	0031-4005"
1680,"	BMJ Open","	2044-6055"
1681,"	J Patient Saf","	1549-8417"
1682,"	West J Emerg Med","	1936-900X"
1683,"	Euro Surveill","	1025-496X"
1684,"	Pain Med","	1526-2375"
1685,"	Am J Manag Care","	1088-0224"
1686,"	Asian Nurs Res (Korean Soc Nurs Sci)","	1976-1317"
1687,"	Dig Dis Sci","	0163-2116"
1688,"	J Oncol Pharm Pract","	1078-1552"
1689,"	Clin Lung Cancer","	1525-7304"
1690,"	J Oncol Pharm Pract","	1078-1552"
1691,"	Gend Med","	1550-8579"
1692,"	PLoS One","	1932-6203"
1693,"	Fundam Clin Pharmacol","	0767-3981"
1694,"	Sex Transm Dis","	0148-5717"
1695,"	J Manag Care Spec Pharm","	"
1696,"	Int J Med Inform","	1386-5056"
1697,"	Reg Anesth Pain Med","	1098-7339"
1698,"	Am J Health Syst Pharm","	1079-2082"
1699,"	Ann Clin Biochem","	0004-5632"
1700,"	Am J Public Health","	0090-0036"
1701,"	Respir Med","	0954-6111"
1702,"	J Infect","	0163-4453"
1703,"	Med Mal Infect","	0399-077x"
1704,"	Ann Vasc Surg","	0890-5096"
1705,"	AJR Am J Roentgenol","	0361-803x"
1706,"	Heart","	1355-6037"
1707,"	Ann Pharmacother","	1060-0280"
1708,"	Ophthalmology","	0161-6420"
1709,"	J Am Coll Radiol","	1546-1440"
1710,"	J Neuropsychiatry Clin Neurosci","	0895-0172"
1711,"	Psychiatr Serv","	1075-2730"
1712,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
1713,"	Inflamm Bowel Dis","	1078-0998"
1714,"	Int J Med Inform","	1386-5056"
1715,"	Seizure","	1059-1311"
1716,"	Clin Res Cardiol","	1861-0684"
1717,"	Anesth Analg","	0003-2999"
1718,"	BMC Neurol","	1471-2377"
1719,"	J Paediatr Child Health","	1034-4810"
1720,"	Aging Clin Exp Res","	1594-0667"
1721,"	Prev Med","	0091-7435"
1722,"	Pediatrics","	0031-4005"
1723,"	BMJ Open","	2044-6055"
1724,"	BMC Health Serv Res","	1472-6963"
1725,"	BMC Fam Pract","	1471-2296"
1726,"	Emerg Med J","	1472-0205"
1727,"	Circulation","	0009-7322"
1728,"	Spinal Cord","	1362-4393"
1729,"	Br J Clin Pharmacol","	0306-5251"
1730,"	PLoS One","	1932-6203"
1731,"	PLoS One","	1932-6203"
1732,"	Blood Press Monit","	1359-5237"
1733,"	Am J Health Syst Pharm","	1079-2082"
1734,"	PLoS One","	1932-6203"
1735,"	J Med Internet Res","	1439-4456"
1736,"	World J Gastroenterol","	1007-9327"
1737,"	Acta Radiol","	0284-1851"
1738,"	J Pediatr","	0022-3476"
1739,"	J Gastrointestin Liver Dis","	1841-8724"
1740,"	Infect Control Hosp Epidemiol","	0899-823x"
1741,"	Arch Dis Child Fetal Neonatal Ed","	1359-2998"
1742,"	Clin Orthop Relat Res","	0009-921X"
1743,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
1744,"	J Hosp Med","	1553-5592"
1745,"	BMC Pulm Med","	1471-2466"
1746,"	Chirurgia (Bucur)","	1221-9118"
1747,"	Pediatrics","	0031-4005"
1748,"	J Clin Monit Comput","	1387-1307"
1749,"	BMC Health Serv Res","	1472-6963"
1750,"	Comput Inform Nurs","	1538-2931"
1751,"	Curr Med Res Opin","	0300-7995"
1752,"	Womens Health Issues","	1049-3867"
1753,"	Ann Intern Med","	0003-4819"
1754,"	J Clin Oncol","	0732-183X"
1755,"	Qual Saf Health Care","	1475-3898"
1756,"	Eur Neuropsychopharmacol","	0924-977x"
1757,"	BMC Med Res Methodol","	1471-2288"
1758,"	Transpl Infect Dis","	1398-2273"
1759,"	Trials","	1745-6215"
1760,"	J Clin Monit Comput","	1387-1307"
1761,"	Epidemiology","	1044-3983"
1762,"	Clin Gastroenterol Hepatol","	1542-3565"
1763,"	J Epidemiol Community Health","	0143-005x"
1764,"	Transfusion","	0041-1132"
1765,"	Mil Med","	0026-4075"
1766,"	J Vasc Surg Venous Lymphat Disord","	"
1767,"	Cjem","	1481-8035"
1768,"	Blood Press","	0803-7051"
1769,"	AMIA Annu Symp Proc","	1559-4076"
1770,"	J Antimicrob Chemother","	0305-7453"
1771,"	Lupus","	0961-2033"
1772,"	BMC Urol","	1471-2490"
1773,"	Pediatr Emerg Care","	0749-5161"
1774,"	Rev Epidemiol Sante Publique","	0398-7620"
1775,"	AJR Am J Roentgenol","	0361-803x"
1776,"	Epilepsy Behav","	1525-5050"
1777,"	Clin Exp Rheumatol","	0392-856X"
1778,"	Drugs Aging","	1170-229X"
1779,"	Rheumatology (Oxford)","	1462-0324"
1780,"	Clin Ther","	0149-2918"
1781,"	J Okla State Med Assoc","	0030-1876"
1782,"	J Am Med Inform Assoc","	1067-5027"
1783,"	Diabetologia","	0012-186X"
1784,"	J Womens Health (Larchmt)","	1540-9996"
1785,"	Curr Probl Diagn Radiol","	0363-0188"
1786,"	Int J Qual Health Care","	1353-4505"
1787,"	J Urol","	0022-5347"
1788,"	Prev Med","	0091-7435"
1789,"	Drug Saf","	0114-5916"
1790,"	J Diabetes Sci Technol","	1932-2968"
1791,"	BMJ Open","	2044-6055"
1792,"	Health Inf Manag","	1833-3583"
1793,"	Am J Public Health","	0090-0036"
1794,"	Osteoporos Int","	0937-941x"
1795,"	Acad Pediatr","	1876-2859"
1796,"	Int J Med Inform","	1386-5056"
1797,"	J Clin Gastroenterol","	0192-0790"
1798,"	J Microbiol Immunol Infect","	1684-1182"
1799,"	Int J Clin Pharm","	2210-7703"
1800,"	Vaccine","	0264-410x"
1801,"	Minerva Gastroenterol Dietol","	1121-421X"
1802,"	Health Serv Res","	0017-9124"
1803,"	Chemotherapy","	0009-3157"
1804,"	Int J Clin Pharm","	"
1805,"	Wounds","	1044-7946"
1806,"	J Clin Oncol","	0732-183X"
1807,"	AIDS Care","	0954-0121"
1808,"	PLoS One","	1932-6203"
1809,"	PLoS One","	1932-6203"
1810,"	Mil Med","	0026-4075"
1811,"	Diabetes Obes Metab","	1462-8902"
1812,"	BMJ Open","	2044-6055"
1813,"	J Int AIDS Soc","	1758-2652"
1814,"	J Med Internet Res","	1439-4456"
1815,"	J Oncol Pharm Pract","	1078-1552"
1816,"	Swiss Med Wkly","	0036-7672"
1817,"	Ont Health Technol Assess Ser","	1915-7398"
1818,"	Pediatrics","	0031-4005"
1819,"	J Manag Care Spec Pharm","	"
1820,"	Rev Bras Epidemiol","	1415-790x"
1821,"	Am J Public Health","	0090-0036"
1822,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
1823,"	Anesth Analg","	0003-2999"
1824,"	J Am Acad Dermatol","	0190-9622"
1825,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1826,"	Cancer","	0008-543X"
1827,"	Am J Emerg Med","	0735-6757"
1828,"	Jt Comm J Qual Patient Saf","	1553-7250"
1829,"	Int J Clin Pharm","	"
1830,"	Int J Pharm Pract","	0961-7671"
1831,"	J Diabetes Complications","	1056-8727"
1832,"	Methods Inf Med","	0026-1270"
1833,"	J Bone Joint Surg Am","	0021-9355"
1834,"	Eur J Clin Pharmacol","	0031-6970"
1835,"	J Vasc Surg","	0741-5214"
1836,"	BMJ Open","	2044-6055"
1837,"	Int J Epidemiol","	0300-5771"
1838,"	Int J Clin Pharm","	"
1839,"	Infect Control Hosp Epidemiol","	0899-823x"
1840,"	Gac Sanit","	0213-9111"
1841,"	J Neurol Sci","	0022-510x"
1842,"	Drug Saf","	0114-5916"
1843,"	Br J Psychiatry","	0007-1250"
1844,"	J Urban Health","	1099-3460"
1845,"	Prehosp Emerg Care","	1090-3127"
1846,"	J Comp Eff Res","	2042-6305"
1847,"	Pediatrics","	0031-4005"
1848,"	BMC Health Serv Res","	1472-6963"
1849,"	J Eval Clin Pract","	1356-1294"
1850,"	Am Surg","	0003-1348"
1851,"	J Hosp Med","	1553-5592"
1852,"	Am J Public Health","	0090-0036"
1853,"	J Hosp Infect","	0195-6701"
1854,"	Br J Gen Pract","	0960-1643"
1855,"	Int J Radiat Oncol Biol Phys","	0360-3016"
1856,"	Diabetes Metab Res Rev","	1520-7552"
1857,"	J Am Geriatr Soc","	0002-8614"
1858,"	Swiss Med Wkly","	0036-7672"
1859,"	J Eval Clin Pract","	1356-1294"
1860,"	J Clin Pharm Ther","	0269-4727"
1861,"	Oncologist","	1083-7159"
1862,"	Anaesthesia","	0003-2409"
1863,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1864,"	Pediatr Diabetes","	1399-543X"
1865,"	Diabetes Technol Ther","	1520-9156"
1866,"	Radiography (Lond)","	1078-8174"
1867,"	AMIA Annu Symp Proc","	1559-4076"
1868,"	J Am Coll Surg","	1072-7515"
1869,"	HPB (Oxford)","	1365-182X"
1870,"	Rev Epidemiol Sante Publique","	0398-7620"
1871,"	J Surg Res","	0022-4804"
1872,"	PLoS One","	1932-6203"
1873,"	Pediatr Cardiol","	0172-0643"
1874,"	Scand J Prim Health Care","	0281-3432"
1875,"	Postgrad Med","	0032-5481"
1876,"	Bmj","	0959-8138"
1877,"	Am J Nephrol","	0250-8095"
1878,"	J Racial Ethn Health Disparities","	2197-3792"
1879,"	Dig Dis Sci","	0163-2116"
1880,"	Trials","	1745-6215"
1881,"	J Clin Nurs","	0962-1067"
1882,"	J Viral Hepat","	1352-0504"
1883,"	Clin Nephrol","	0301-0430"
1884,"	Am J Health Syst Pharm","	1079-2082"
1885,"	JAMA Dermatol","	2168-6068"
1886,"	J Clin Endocrinol Metab","	0021-972X"
1887,"	Vaccine","	0264-410x"
1888,"	BMC Palliat Care","	1472-684x"
1889,"	Am J Emerg Med","	0735-6757"
1890,"	Vasa","	0301-1526"
1891,"	J Diabetes Complications","	1056-8727"
1892,"	J Affect Disord","	0165-0327"
1893,"	J Am Coll Radiol","	1546-1440"
1894,"	Artif Intell Med","	0933-3657"
1895,"	Am J Orthod Dentofacial Orthop","	0889-5406"
1896,"	Headache","	0017-8748"
1897,"	Rev Med Interne","	0248-8663"
1898,"	Am J Perinatol","	0735-1631"
1899,"	Farm Hosp","	1130-6343"
1900,"	Eur J Intern Med","	0953-6205"
1901,"	Clin Interv Aging","	1176-9092"
1902,"	J Clin Pharm Ther","	0269-4727"
1903,"	Comput Methods Programs Biomed","	0169-2607"
1904,"	Popul Health Manag","	1942-7891"
1905,"	Sci Rep","	2045-2322"
1906,"	Chirurgia (Bucur)","	1221-9118"
1907,"	Am J Hematol","	0361-8609"
1908,"	J Vasc Surg","	0741-5214"
1909,"	Jt Comm J Qual Patient Saf","	1553-7250"
1910,"	J Gen Intern Med","	0884-8734"
1911,"	J Am Board Fam Med","	1557-2625"
1912,"	Encephale","	0013-7006"
1913,"	Heart","	1355-6037"
1914,"	Int J Med Inform","	1386-5056"
1915,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1916,"	J Med Toxicol","	1556-9039"
1917,"	J Vasc Surg Venous Lymphat Disord","	"
1918,"	J Neurooncol","	0167-594x"
1919,"	Eur J Gen Pract","	1381-4788"
1920,"	J Pediatr Health Care","	0891-5245"
1921,"	Med Care","	0025-7079"
1922,"	Eur J Prev Cardiol","	2047-4873"
1923,"	Fam Syst Health","	1091-7527"
1924,"	Am Heart J","	0002-8703"
1925,"	J Matern Fetal Neonatal Med","	1476-7058"
1926,"	Am J Prev Med","	0749-3797"
1927,"	Pharmacopsychiatry","	0176-3679"
1928,"	Community Dent Oral Epidemiol","	0301-5661"
1929,"	J Diabetes Complications","	1056-8727"
1930,"	Singapore Med J","	0037-5675"
1931,"	J Child Neurol","	0883-0738"
1932,"	J Clin Pharm Ther","	0269-4727"
1933,"	Lung Cancer","	0169-5002"
1934,"	Intern Med J","	1444-0903"
1935,"	Ophthalmology","	0161-6420"
1936,"	Mult Scler","	1352-4585"
1937,"	PLoS One","	1932-6203"
1938,"	Int J Med Inform","	1386-5056"
1939,"	Am J Hematol","	0361-8609"
1940,"	Fertil Steril","	0015-0282"
1941,"	J Perinatol","	0743-8346"
1942,"	World J Biol Psychiatry","	1562-2975"
1943,"	Nicotine Tob Res","	1462-2203"
1944,"	PLoS One","	1932-6203"
1945,"	Diabetes Obes Metab","	1462-8902"
1946,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
1947,"	Thromb Haemost","	0340-6245"
1948,"	PLoS One","	1932-6203"
1949,"	BMC Public Health","	1471-2458"
1950,"	Pharmacotherapy","	0277-0008"
1951,"	Drugs Aging","	1170-229x"
1952,"	Anesth Analg","	0003-2999"
1953,"	Crit Care","	1364-8535"
1954,"	Am J Manag Care","	1088-0224"
1955,"	Int J Health Care Qual Assur","	0952-6862"
1956,"	Yonsei Med J","	0513-5796"
1957,"	Ann Pharmacother","	1060-0280"
1958,"	S Afr J Surg","	0038-2361"
1959,"	Basic Clin Pharmacol Toxicol","	1742-7835"
1960,"	Int J Clin Pharm","	"
1961,"	Eur J Clin Nutr","	0954-3007"
1962,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1963,"	Pharmacotherapy","	0277-0008"
1964,"	Headache","	0017-8748"
1965,"	Lancet","	0140-6736"
1966,"	J Magn Reson Imaging","	1053-1807"
1967,"	Nephrology (Carlton)","	1320-5358"
1968,"	PLoS One","	1932-6203"
1969,"	J Am Coll Surg","	1072-7515"
1970,"	BMJ Open","	2044-6055"
1971,"	Clin Nephrol","	0301-0430"
1972,"	Fetal Diagn Ther","	1015-3837"
1973,"	Heart","	1355-6037"
1974,"	J Neurosurg Pediatr","	1933-0707"
1975,"	Circulation","	0009-7322"
1976,"	J Acquir Immune Defic Syndr","	1525-4135"
1977,"	J Immigr Minor Health","	1557-1912"
