1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
719	The wired patient: patterns of electronic patient portal use among patients with cardiac disease or diabetes	Accession 	Number	Journal of Medical Internet Research
720	Stepped collaborative depression care: primary care results before and after implementation of a stepped collaborative depression programme	Accession 	Number	Family Practice
721	Associations of lifetime traumatic experience with dysfunctional eating patterns and postsurgery weight loss in adults with obesity: A retrospective study	Accession 	Number	Stress Health
722	Diagnosis-specific readmission risk prediction using electronic health data: a retrospective cohort study	Accession 	Number	BMC Medical Informatics and Decision Making
723	Applying a natural language processing tool to electronic health records to assess performance on colonoscopy quality measures	Accession 	Number	Gastrointestinal Endoscopy
724	Common Genetic Variants Influence Circulating Vitamin D Levels in Inflammatory Bowel Diseases	Accession 	Number	Inflammatory Bowel Diseases
725	User perspectives on the usability of a regional health information exchange	Accession 	Number	Journal of the American Medical Informatics Association
726	Assessing the delivery of comprehensive care at a dental school	Accession 	Number	Texas Dental Journal
727	OPENING THE DOOR TO THE LARGE SCALE USE OF CLINICAL LAB MEASURES FOR ASSOCIATION TESTING: EXPLORING DIFFERENT METHODS FOR DEFINING PHENOTYPES	Accession 	Number	Pacific Symposium on Biocomputing
728	A database de-identification framework to enable direct queries on medical data for secondary use	Accession 	Number	Methods of Information in Medicine
729	Interpersonal continuity of primary care of veterans with diabetes: a cohort study using electronic health record data	Accession 	Number	BMC Family Practice
730	The clinical epidemiology of fatigue in newly diagnosed heart failure	Accession 	Number	BMC Cardiovascular Disorders
731	Patient aberrant drug taking behaviors in a large family medicine residency program: a retrospective chart review of screening practices, incidence, and predictors	Accession 	Number	J Opioid Manag
732	Usefulness of surgical complexity classification index in cataract surgery process	Accession 	Number	Arch Soc Esp Oftalmol
733	Electronically delivered interventions to reduce antibiotic prescribing for respiratory infections in primary care: cluster RCT using electronic health records and cohort study	Accession 	Number	Health Technology Assessment
734	Glycaemic control of Type 2 diabetes in older patients visiting general practitioners: An examination of electronic medical records to identify risk factors for poor control	Accession 	Number	Diabetes Research and Clinical Practice
735	A longitudinal analysis of data quality in a large pediatric data research network	Accession 	Number	Journal of the American Medical Informatics Association
736	How to improve opportunistic screening by using EMRs and other data. The prevalence of undetected diabetes mellitus in target population in Croatia	Accession 	Number	Public Health
737	Tobacco use as a risk factor for reoperation in patients with stress urinary incontinence: a multi-institutional electronic medical record database analysis	Accession 	Number	Int Urogynecol J
738	Medication administration quality and health information technology: a national study of US hospitals	Accession 	Number	Journal of the American Medical Informatics Association
739	Towards prevention of acute syndromes: electronic identification of at-risk patients during hospital admission	Accession 	Number	Applied Clinical Informatics
740	Transition of Care from the Emergency Department to the Outpatient Setting: A Mixed-Methods Analysis	Accession 	Number	Western Journal of Emergency Medicine
741	Quality of Care in the United Kingdom after Removal of Financial Incentives	Accession 	Number	New England Journal of Medicine
742	Detection of healthcare-associated urinary tract infection in Swedish electronic health records	Accession 	Number	Studies in Health Technology and Informatics
743	Outcomes in patients with metastatic bladder cancer in the USA: a retrospective electronic medical record study	Accession 	Number	Future Oncology (London, England)
744	Type and frequency of healthcare encounters can predict poor surgical outcomes in anterior cruciate ligament reconstruction patients	Accession 	Number	International Journal of Medical Informatics
745	Decrease in hospital-wide mortality rate after implementation of a commercially sold computerized physician order entry system	Accession 	Number	Pediatrics
746	Neighborhood Physical Disorder and Adverse Pregnancy Outcomes among Women in Chicago: a Cross-Sectional Analysis of Electronic Health Record Data	Accession 	Number	Journal of Urban Health
747	Evaluating the Impact of Auto-Calculation Settings on Opioid Prescribing at an Academic Medical Center	Accession 	Number	Joint Commission Journal on Quality and Patient Safety
748	Underestimated prevalence of heart failure in hospital inpatients: a comparison of ICD codes and discharge letter information	Accession 	Number	Clinical Research in Cardiology
749	Enhancing pharmacosurveillance with systematic collection of treatment indication in electronic prescribing: a validation study in Canada	Accession 	Number	Drug Safety
750	Use of acupuncture for pain management in an academic Korean medicine hospital: a retrospective review of electronic medical records	Accession 	Number	Acupuncture in Medicine
751	Systems consultation for opioid prescribing in primary care: a qualitative study of adaptation	Accession 	Number	BMJ Qual Saf
752	The burden of illness of hepatorenal syndrome (HRS) in the United States: a retrospective analysis of electronic health records	Accession 	Number	Journal of Medical Economics
753	Association of online patient access to clinicians and medical records with use of clinical services	Accession 	Number	JAMA
754	Impact of Health Information Exchange on Emergency Medicine Clinical Decision Making	Accession 	Number	Western Journal of Emergency Medicine
755	Improved prenatal detection of congenital heart disease in an integrated health care system	Accession 	Number	Pediatric Cardiology
756	Agreement between electronic medical records and self-reported urologic domains in the National Spina Bifida Patient Registry (NSBPR): Implications for future research	Accession 	Number	Journal of Pediatric Urology
757	Harnessing clinical psychiatric data with an electronic assessment tool (OPCRIT+): the utility of symptom dimensions	Accession 	Number	PloS One
758	Impact of problem-based charting on the utilization and accuracy of the electronic problem list	Accession 	Number	Journal of the American Medical Informatics Association
759	Point-of-care cluster randomized trial in stroke secondary prevention using electronic health records	Accession 	Number	Stroke
760	Composer-Visual Cohort Analysis of Patient Outcomes	Accession 	Number	Applied Clinical Informatics
761	Surgical intensive care unit mobility is increased after institution of a computerized mobility order set and intensive care unit mobility protocol: a prospective cohort analysis	Accession 	Number	American Surgeon
762	Safety work and risk management as burdens of treatment in primary care: insights from a focused ethnographic study of patients with multimorbidity	Accession 	Number	BMC Family Practice
763	Incidence of stroke and seizure in Alzheimer's disease dementia	Accession 	Number	Age and Ageing
764	Channeling in the Use of Nonprescription Paracetamol and Ibuprofen in an Electronic Medical Records Database: Evidence and Implications	Accession 	Number	Drug Safety
765	Wise Practices for Cultural Safety in Electronic Health Research and Clinical Trials With Indigenous People: Secondary Analysis of a Randomized Clinical Trial	Accession 	Number	Journal of Medical Internet Research
766	Interpretation and integration of the federal substance use privacy protection rule in integrated health systems: A qualitative analysis	Accession 	Number	Journal of Substance Abuse Treatment
767	Implementation of health information technology to maximize efficiency of resource utilization in a geographically dispersed prenatal care delivery system	Accession 	Number	American Journal of Perinatology
768	Prediction of In-hospital Mortality in Emergency Department Patients With Sepsis: A Local Big Data-Driven, Machine Learning Approach	Accession 	Number	Academic Emergency Medicine
769	Advance care planning for patients with cancer in the palliative phase in Dutch general practices	Accession 	Number	Family Practice
770	Communication failure: analysis of prescribers' use of an internal free-text field on electronic prescriptions	Accession 	Number	Journal of the American Medical Informatics Association
771	Trends in e-visit adoption among U.S. office-based physicians: Evidence from the 2011-2015 NAMCS	Accession 	Number	International Journal of Medical Informatics
772	Using item response theory with health system data to identify latent groups of patients with multiple health conditions	Accession 	Number	PloS One
773	Evaluating the Impact of Information Technology Tools to Support the Asthma Medical Home	Accession 	Number	Clinical Pediatrics
774	[Linkage of secondary data with cancer registry data on the basis of encrypted personal identifiers - results from a pilot study in North Rhine-Westphalia]	Accession 	Number	Gesundheitswesen
775	Assessment of the relationship between diabetes treatment intensification and quality measure performance using electronic medical records	Accession 	Number	PloS One
776	Development, Validation and Deployment of a Real Time 30 Day Hospital Readmission Risk Assessment Tool in the Maine Healthcare Information Exchange	Accession 	Number	PloS One
777	Face time versus test ordering: is there a trade-off?	Accession 	Number	American Journal of Managed Care
778	Evaluation of Frailty as an Unmeasured Confounder in Observational Studies of Antidiabetic Medications	Accession 	Number	Journals of Gerontology Series A: Biological Sciences and Medical Sciences
779	Can statistical linkage of missing variables reduce bias in treatment effect estimates in comparative effectiveness research studies?	Accession 	Number	J Comp Eff Res
780	Prediction of Future Chronic Opioid Use Among Hospitalized Patients	Accession 	Number	Journal of General Internal Medicine
781	Chronic disease risks in young adults with autism spectrum disorder: forewarned is forearmed	Accession 	Number	Am J Intellect Dev Disabil
782	Would you like to add a weight after this blood pressure, doctor? Discovery of potentially actionable associations between the provision of multiple screens in primary care	Accession 	Number	Journal of Evaluation in Clinical Practice
783	We thought we would be perfect: medication errors before and after the initiation of Computerized Physician Order Entry	Accession 	Number	Journal of Surgical Research
784	ECG AI-Guided Screening for Low Ejection Fraction (EAGLE): Rationale and design of a pragmatic cluster randomized trial	Accession 	Number	American Heart Journal
785	Multimorbidity patterns in patients with heart failure: an observational Spanish study based on electronic health records	Accession 	Number	BMJ Open
786	Development of processes allowing near real-time refinement and validation of triage tools during the early stage of an outbreak in readiness for surge: the FLU-CATs Study	Accession 	Number	Health Technology Assessment
787	Navigating longitudinal clinical notes with an automated method for detecting new information	Accession 	Number	Studies in Health Technology and Informatics
788	Tolerability of central nervous system symptoms among HIV-1 infected efavirenz users: analysis of patient electronic medical record data	Accession 	Number	AIDS Care
789	Evaluation of a prediction model for colorectal cancer: retrospective analysis of 2.5 million patient records	Accession 	Number	Cancer Med
790	A simple real-time model for predicting acute kidney injury in hospitalized patients in the US: A descriptive modeling study	Accession 	Number	PLoS Medicine
791	Prevalence and recognition of obesity and its associated comorbidities: cross-sectional analysis of electronic health record data from a large US integrated health system	Accession 	Number	BMJ Open
792	Does health information exchange reduce redundant imaging? Evidence from emergency departments	Accession 	Number	Medical Care
793	First-line treatment of essential hypertension: A real-world analysis across four antihypertensive treatment classes	Accession 	Number	Journal of Clinical Hypertension (Greenwich, Conn)
794	Racial/ethnic variation in devices used to access patient portals	Accession 	Number	American Journal of Managed Care
795	Effect of a Real-Time Electronic Dashboard on a Rapid Response System	Accession 	Number	Journal of Medical Systems
796	The value of Retrospective and Concurrent Think Aloud in formative usability testing of a physician data query tool	Accession 	Number	Journal of Biomedical Informatics
797	Choosing Wisely Canada campaign associated with less overuse of thyroid testing: Retrospective parallel cohort study	Accession 	Number	Canadian Family Physician
798	Mixture models for undiagnosed prevalent disease and interval-censored incident disease: applications to a cohort assembled from electronic health records	Accession 	Number	Statistics in Medicine
799	Similar multimorbidity patterns in primary care patients from two European regions: results of a factor analysis	Accession 	Number	PloS One
800	Assessing the impact of the heart of New Ulm Project on cardiovascular disease risk factors: A population-based program to reduce cardiovascular disease	Accession 	Number	Preventive Medicine
801	Mortality Risk Factors Among Patients With Cirrhosis and a Low Model for End-Stage Liver Disease Sodium Score (‚â§15): An Analysis of Liver Transplant Allocation Policy Using Aggregated Electronic Health Record Data	Accession 	Number	American Journal of Transplantation
802	Linking of primary care records to census data to study the association between socioeconomic status and cancer incidence in Southern Europe: a nation-wide ecological study	Accession 	Number	PloS One
803	Evaluation of Nursing Documentation Completion of Stroke Patients in the Emergency Department: A Pre-Post Analysis Using Flowsheet Templates and Clinical Decision Support	Accession 	Number	Computers, Informatics, Nursing
804	Type and timing of heralding in ST-elevation and non-ST-elevation myocardial infarction: an analysis of prospectively collected electronic healthcare records linked to the national registry of acute coronary syndromes	Accession 	Number	Eur Heart J Acute Cardiovasc Care
805	Observational safety study of specific outcomes after trivalent cell culture seasonal influenza vaccination (Optaflu(¬Æ) ) among adults in THIN database of electronic UK primary healthcare records	Accession 	Number	Pharmacoepidemiology and Drug Safety
806	Patient-provider internet portals--patient outcomes and use	Accession 	Number	Computers, Informatics, Nursing
807	A Naive Bayes machine learning approach to risk prediction using censored, time-to-event data	Accession 	Number	Statistics in Medicine
808	The role of service readiness and health care facility factors in attrition from Option B+ in Haiti: a joint examination of electronic medical records and service provision assessment survey data	Accession 	Number	Int Health
809	Development and validation of a new ICD-10-based trauma mortality prediction scoring system using a Japanese national inpatient database	Accession 	Number	Injury Prevention
810	Long-Term Exposure to Elevated Systolic Blood Pressure in Predicting Incident Cardiovascular Disease: Evidence From Large-Scale Routine Electronic Health Records	Accession 	Number	J Am Heart Assoc
811	Pointers to earlier diagnosis of endometriosis: a nested case-control study using primary care electronic health records	Accession 	Number	British Journal of General Practice
812	Gender-specific reference charts for cardiotocographic parameters throughout normal pregnancy: a retrospective cross-sectional study of 9701 fetuses	Accession 	Number	European Journal of Obstetrics, Gynecology, and Reproductive Biology
813	Disease Trajectories and End-of-Life Care for Dementias: Latent Topic Modeling and Trend Analysis Using Clinical Notes	Accession 	Number	AMIA Annu Symp Proc
814	Effects of a multifaceted medication reconciliation quality improvement intervention on patient safety: final results of the MARQUIS study	Accession 	Number	BMJ Qual Saf
815	AUDIT-C and ICD codes as phenotypes for harmful alcohol use: association with ADH1B polymorphisms in two US populations	Accession 	Number	Addiction
816	Factors associated with failure to correct the international normalised ratio following fresh frozen plasma administration among patients treated for warfarin-related major bleeding. An analysis of electronic health records	Accession 	Number	Thrombosis and Haemostasis
817	IDENTIFYING GENETIC ASSOCIATIONS WITH VARIABILITY IN METABOLIC HEALTH AND BLOOD COUNT LABORATORY VALUES: DIVING INTO THE QUANTITATIVE TRAITS BY LEVERAGING LONGITUDINAL DATA FROM AN EHR	Accession 	Number	Pacific Symposium on Biocomputing
818	Disparities in enrollment and use of an electronic patient portal	Accession 	Number	Journal of General Internal Medicine
819	Natural Language Processing-Identified Problem Opioid Use and Its Associated Health Care Costs	Accession 	Number	Journal of Pain & Palliative Care Pharmacotherapy
820	What patients' problems do nurses e-chart? Longitudinal study to evaluate the usability of an interface terminology	Accession 	Number	International Journal of Nursing Studies
821	Bariatric surgery history among substance abuse treatment patients: prevalence and associated features	Accession 	Number	Surgery for Obesity and Related Diseases
822	Treatment patterns and outcomes among hospitalized patients with venous thromboembolism in the United States: an analysis of electronic health records data	Accession 	Number	Hosp Pract (1995)
823	Recognizing hypoglycemia in children through automated adverse-event detection	Accession 	Number	Pediatrics
824	Operative and anaesthetic factors influencing on delirium in the intensive care unit: An Analysis of electronic health records	Accession 	Number	Journal of Clinical Nursing
825	Real-world glycemic, blood pressure, and weight control in patients with type 2 diabetes mellitus treated with canagliflozin-an electronic health-record-based study	Accession 	Number	Current Medical Research and Opinion
826	A Concept-Wide Association Study of Clinical Notes to Discover New Predictors of Kidney Failure	Accession 	Number	Clinical Journal of the American Society of Nephrology
827	Provider and Patient Determinants of Generic Levothyroxine Prescribing: An Electronic Health Records-Based Study	Accession 	Number	Annals of Pharmacotherapy
828	Beyond Cohort Selection: An Analytics-Enabled i2b2	Accession 	Number	Studies in Health Technology and Informatics
829	Use of an electronic patient portal among disadvantaged populations	Accession 	Number	Journal of General Internal Medicine
830	Longitudinal analysis on utilization of medical document management system in a hospital with EPR implementation	Accession 	Number	Studies in Health Technology and Informatics
831	Diagnosis trajectories of prior multi-morbidity predict sepsis mortality	Accession 	Number	Scientific Reports
832	Validating archetypes for the Multiple Sclerosis Functional Composite	Accession 	Number	BMC Medical Informatics and Decision Making
833	Development of overweight and obesity among primary school children-a longitudinal cohort study	Accession 	Number	Family Practice
834	[Computerized decision support systems: EBM at the bedside]	Accession 	Number	Recenti Progressi in Medicina
835	Identification of adults with congenital heart disease of moderate or great complexity from administrative data	Accession 	Number	Congenital Heart Disease
836	Importance of Decision Support Implementation in Emergency Department Vancomycin Dosing	Accession 	Number	Western Journal of Emergency Medicine
837	Using machine learning to identify patterns of lifetime health problems in decedents with autism spectrum disorder	Accession 	Number	Autism Research
838	Geographic Information Systems to Assess External Validity in Randomized Trials	Accession 	Number	American Journal of Preventive Medicine
839	The CRAC cohort model: A computerized low cost registry of interventional cardiology with daily update and long-term follow-up	Accession 	Number	Revue d'Épidémiologie et de Santé Publique
840	Primary Care Medication Safety Surveillance with Integrated Primary and Secondary Care Electronic Health Records: A Cross-Sectional Study	Accession 	Number	Drug Safety
841	Clinical relevance of thrombocytosis in primary care: a prospective cohort study of cancer incidence using English electronic medical records and cancer registry data	Accession 	Number	British Journal of General Practice
842	Seasonality, risk factors and burden of community-acquired pneumonia in COPD patients: a population database study using linked health care records	Accession 	Number	International Journal of Chronic Obstructive Pulmonary Disease
843	Effectiveness of the Malnutrition Quality Improvement Initiative on Practitioner Malnutrition Knowledge and Screening, Diagnosis, and Timeliness of Malnutrition-Related Care Provided to Older Adults Admitted to a Tertiary Care Facility: A Pilot Study	Accession 	Number	Journal of the Academy of Nutrition and Dietetics
844	Optimising computerised decision support to transform medication safety and reduce prescriber burden: study protocol for a mixed-methods evaluation of drug-drug interaction alerts	Accession 	Number	BMJ Open
845	Linking e-health records, patient-reported symptoms and environmental exposure data to characterise and model COPD exacerbations: protocol for the COPE study	Accession 	Number	BMJ Open
846	Conformance to Depression Process Measures of Medicare Part B Beneficiaries in Primary Care Settings	Accession 	Number	Journal of the American Geriatrics Society
847	Identification of patients with neuropathic pain using electronic primary care records	Accession 	Number	Informatics in Primary Care
848	Overall Survival and Metastasis Resections in Patients with Metastatic Colorectal Cancer Using Electronic Medical Records	Accession 	Number	Journal of Gastrointestinal Cancer
849	Changing patient care orders from paper to computerized provider order entry-based process	Accession 	Number	Computers, Informatics, Nursing
850	Merging of the National Cancer Institute-funded cooperative oncology group data with an administrative data source to develop a more effective platform for clinical trial analysis and comparative effectiveness research: a report from the Children's Oncology Group	Accession 	Number	Pharmacoepidemiology and Drug Safety
851	Patterns of risk of cancer in patients with metal-on-metal hip replacements versus other bearing surface types: a record linkage study between a prospective joint registry and general practice electronic health records in England	Accession 	Number	PloS One
852	Development and Performance of the Pulmonary Embolism Result Forecast Model (PERFORM) for Computed Tomography Clinical Decision Support	Accession 	Number	JAMA Netw Open
853	Reporting observational studies of the use of information technology in the clinical consultation. A position statement from the IMIA Primary Health Care Informatics Working Group (IMIA PCI WG)	Accession 	Number	Yearbook of Medical Informatics
854	Type 2 diabetes mellitus and renal impairment in a large outpatient electronic medical records database: rates of diagnosis and antihyperglycemic medication dose adjustment	Accession 	Number	Postgraduate Medicine
855	Does health information exchange reduce unnecessary neuroimaging and improve quality of headache care in the emergency department?	Accession 	Number	Journal of General Internal Medicine
856	Declining blood pressure and intensification of blood pressure management among people over 80 years: cohort study using electronic health records	Accession 	Number	Journal of Hypertension
857	Nascent regional system for alerting infection preventionists about patients with multidrug-resistant gram-negative bacteria: implementation and initial results	Accession 	Number	Infection Control and Hospital Epidemiology
858	Association of the Presence of Trainees With Outpatient Appointment Times in an Ophthalmology Clinic	Accession 	Number	JAMA Ophthalmol
859	Adult asthma exacerbations and environmental triggers: a retrospective review of ED visits using an electronic medical record	Accession 	Number	American Journal of Emergency Medicine
860	Observational study protocol for evaluating control of hypertension and the effects of social determinants	Accession 	Number	BMJ Open
861	Blood pressure level impacts risk of death among HIV seropositive adults in Kenya: a retrospective analysis of electronic health records	Accession 	Number	BMC Infectious Diseases
862	Pediatric emergency department crowding: survival tree clustering for length of patient stay	Accession 	Number	Studies in Health Technology and Informatics
863	Creating a High-Frequency Electronic Database in the PICU: The Perpetual Patient	Accession 	Number	Pediatric Critical Care Medicine
864	Reducing the default dispense quantity for new opioid analgesic prescriptions: study protocol for a cluster randomised controlled trial	Accession 	Number	BMJ Open
865	Disparities in mental health care utilization among inpatients in various types of health institutions: a cross-sectional study based on EHR data in Shanghai, China	Accession 	Number	BMC Public Health
866	Dietary Intake, Nutrient Status, and Growth Parameters in Children with Autism Spectrum Disorder and Severe Food Selectivity: An¬†Electronic Medical Record Review	Accession 	Number	Journal of the Academy of Nutrition and Dietetics
867	An investigation into the durability of glycemic control in patients with type II diabetes initiated on canagliflozin or sitagliptin: A real-world analysis of electronic medical records	Accession 	Number	Journal of Diabetes and Its Complications
868	Use of an electronic administrative database to identify older community dwelling adults at high-risk for hospitalization or emergency department visits: the elders risk assessment index	Accession 	Number	BMC Health Services Research
869	Hospital Risk of Data Breaches	Accession 	Number	JAMA Intern Med
870	A visual-interactive system for prostate cancer cohort analysis	Accession 	Number	IEEE Comput Graph Appl
871	Abacavir (Ziagen(¬Æ)) use between 2003 and 2008 in France according to the electronic medical record NADIS(¬Æ)	Accession 	Number	Médecine et Maladies Infectieuses
872	The effects of data sources, cohort selection, and outcome definition on a predictive model of risk of thirty-day hospital readmissions	Accession 	Number	Journal of Biomedical Informatics
873	Evaluation of syndromic algorithms for detecting patients with potentially transmissible infectious diseases based on computerised emergency-department data	Accession 	Number	BMC Medical Informatics and Decision Making
874	Medication adherence, medical record accuracy, and medication exposure in real-world patients using comprehensive medication monitoring	Accession 	Number	PloS One
875	Adherence to growth hormone (GH) therapy in na√Øve to treatment GH-deficient children: data of the Italian Cohort from the Easypod Connect Observational Study (ECOS)	Accession 	Number	Journal of Endocrinological Investigation
876	ICD-10 and alternative diagnostic criteria for childhood autism among children with intellectual disability	Accession 	Number	Indian Journal of Pediatrics
877	Improving adherence with oral antiemetic agents in patients with breast cancer receiving chemotherapy	Accession 	Number	Journal of Oncology Practice
878	Hypertension control and antihypertensive therapy in patients with chronic kidney disease	Accession 	Number	American Journal of Hypertension
879	Factors Contributing to CPOE Opiate Allergy Alert Overrides	Accession 	Number	AMIA Annu Symp Proc
880	Using health-system-wide data to understand hepatitis B virus prophylaxis and reactivation outcomes in patients receiving rituximab	Accession 	Number	Medicine (Baltimore)
881	Sensitivity and specificity of dosing alerts for dosing errors among hospitalized pediatric patients	Accession 	Number	Journal of the American Medical Informatics Association
882	Missing data approaches in eHealth research: simulation study and a tutorial for nonmathematically inclined researchers	Accession 	Number	Journal of Medical Internet Research
883	Data Value in Patient Tracking Systems at Racing Events	Accession 	Number	Medicine and Science in Sports and Exercise
884	Health checks and cardiovascular risk factor values over six years' follow-up: Matched cohort study using electronic health records in England	Accession 	Number	PLoS Medicine
885	The relationship between a cirrhosis-specific comorbidity scoring system and healthcare utilization patterns	Accession 	Number	Journal of Gastroenterology and Hepatology
886	Pharmaceutical cost and multimorbidity with type 2 diabetes mellitus using electronic health record data	Accession 	Number	BMC Health Services Research
887	Linking glycemic dysregulation in diabetes to symptoms, comorbidities, and genetics through EHR data mining	Accession 	Number	Elife
888	Machine-learning prediction of cancer survival: a retrospective study using electronic administrative records and a cancer registry	Accession 	Number	BMJ Open
889	Use of varenicline and nicotine replacement therapy in people with and without general practitioner-recorded dementia: retrospective cohort study of routine electronic medical records	Accession 	Number	BMJ Open
890	Clostridium difficile Infection Among Veterans Health Administration Patients	Accession 	Number	Infection Control and Hospital Epidemiology
891	Performance of the adapted Diabetes Complications Severity Index translated to ICD-10	Accession 	Number	American Journal of Managed Care
892	Measuring surgical outcomes in neurosurgery: implementation, analysis, and auditing a prospective series of more than 5000 procedures	Accession 	Number	Journal of Neurosurgery
893	Evolution of the "fourth stage" of epidemiologic transition in people aged 80¬†years and over: population-based cohort study using electronic health records	Accession 	Number	Popul Health Metr
894	A Descriptive Study of Hospital- and Community-acquired Pressure Ulcers/Injuries	Accession 	Number	Wound Manag Prev
895	Identifying undetected dementia in UK primary care patients: a retrospective case-control study comparing machine-learning and standard epidemiological approaches	Accession 	Number	BMC Medical Informatics and Decision Making
896	Lexical concept distribution reflects clinical practice	Accession 	Number	AMIA Annu Symp Proc
897	Factors influencing nurses' acceptance of hospital information systems in Iran: application of the Unified Theory of Acceptance and Use of Technology	Accession 	Number	Health Information Management
898	Risk of colorectal cancer in users of bisphosphonates: analysis of population-based electronic health records	Accession 	Number	European Journal of Epidemiology
899	The Importance of Visit Notes on Patient Portals for Engaging Less Educated or Nonwhite Patients: Survey Study	Accession 	Number	Journal of Medical Internet Research
900	Not all non-drinkers with HIV are equal: demographic and clinical comparisons among current non-drinkers with and without a history of prior alcohol use disorders	Accession 	Number	AIDS Care
901	Prediction of mortality in patients undergoing maintenance hemodialysis by Charlson Comorbidity Index using ICD-10 database	Accession 	Number	Nephron: Clinical Practice
902	Benefits and problems of electronic information exchange as perceived by health care professionals: an interview study	Accession 	Number	BMC Health Services Research
903	Therapeutically interchangeable? A study of real-world outcomes associated with switching basal insulin analogues among US patients with type 2 diabetes mellitus using electronic medical records data	Accession 	Number	Diabetes, Obesity & Metabolism
904	A real-time screening alert improves patient recruitment efficiency	Accession 	Number	AMIA Annu Symp Proc
905	Patterns and predictors of medication discrepancies in primary care	Accession 	Number	Journal of Evaluation in Clinical Practice
906	Evaluation of the Relationship Between Serum Uric Acid Levels and Cardiovascular Events in Patients With Gout: A Retrospective Analysis Using Electronic Medical Record Data	Accession 	Number	Journal of Clinical Rheumatology
907	Heart failure labelled patients with missing ejection fraction in primary care: prognosis and determinants	Accession 	Number	BMC Family Practice
908	Validation of an algorithm using inpatient electronic health records to determine the presence and severity of cirrhosis in patients with hepatocellular carcinoma in England: an observational study	Accession 	Number	BMJ Open
909	Can an online clinical data management service help in improving data collection and data quality in a developing country setting?	Accession 	Number	Trials
910	Mixed Approach Retrospective Analyses of Suicide and Suicidal Ideation for Brand Compared with Generic Central Nervous System Drugs	Accession 	Number	Drug Safety
911	Feasibility of Text Message Influenza Vaccine Safety Monitoring During Pregnancy	Accession 	Number	American Journal of Preventive Medicine
912	Survival and new-onset morbidity after critical care admission for acute pancreatitis in Scotland: a national electronic healthcare record linkage cohort study	Accession 	Number	BMJ Open
913	Health IT and inappropriate utilization of outpatient imaging: A cross-sectional study of U.S. hospitals	Accession 	Number	International Journal of Medical Informatics
914	Using the emergency department to investigate smoking in young adults	Accession 	Number	Annals of Epidemiology
915	Can clinical practice indicator relating to long-acting benzodiazepine use in the elderly be easily generated in a hospital setting?	Accession 	Number	European Journal of Clinical Pharmacology
916	Using electronic medical records analysis to investigate the effectiveness of lifestyle programs in real-world primary care is challenging: a case study in diabetes mellitus	Accession 	Number	Journal of Clinical Epidemiology
917	Real-world treatment patterns and outcomes of patients with small cell lung cancer progressing after 2 lines of therapy	Accession 	Number	Lung Cancer
918	The Effect of Long-Term Second-Generation Antipsychotics Use on the Metabolic Syndrome Parameters in Jordanian Population	Accession 	Number	Medicina (Kaunas, Lithuania)
919	Variations in Influenza Vaccination by Clinic Appointment Time and an Active Choice Intervention in the Electronic Health Record to Increase Influenza Vaccination	Accession 	Number	JAMA Netw Open
920	Predicting frequent emergency department use among children with epilepsy: A retrospective cohort study using electronic health data from 2 centers	Accession 	Number	Epilepsia
921	Validity of registration of ICD codes and prescriptions in a research database in Swedish primary care: a cross-sectional study in Skaraborg primary care database	Accession 	Number	BMC Medical Informatics and Decision Making
922	Rates and risk factors associated with hospitalization for pneumonia with ICU admission among adults	Accession 	Number	BMC Pulmonary Medicine
923	Finnish physicians' stress related to information systems keeps increasing: a longitudinal three-wave survey study	Accession 	Number	BMC Medical Informatics and Decision Making
924	Predicting mechanical restraint of psychiatric inpatients by applying machine learning on electronic health data	Accession 	Number	Acta Psychiatrica Scandinavica
925	Development of an electronic protocol for uterine cervical cancer	Accession 	Number	Rev Col Bras Cir
926	Matching bacteriological and medico-administrative databases is efficient for a computer-enhanced surveillance of surgical site infections: retrospective analysis of 4,400 surgical procedures in a French university hospital	Accession 	Number	Infection Control and Hospital Epidemiology
927	A comparison of oxygen saturation data in inpatients with low oxygen saturation using automated continuous monitoring and intermittent manual data charting	Accession 	Number	Anesthesia and Analgesia
928	Primary Nonadherence, Associated Clinical Outcomes, and Health Care Resource Use Among Patients with Rheumatoid Arthritis Prescribed Treatment with Injectable Biologic Disease-Modifying Antirheumatic Drugs	Accession 	Number	J Manag Care Spec Pharm
929	EMR-based medication adherence metric markedly enhances identification of nonadherent patients	Accession 	Number	American Journal of Managed Care
930	A normalization method for combination of laboratory test results from different electronic healthcare databases in a distributed research network	Accession 	Number	Pharmacoepidemiology and Drug Safety
931	The Impact of Medical Scribes on Patient Satisfaction in an Academic Otolaryngology Clinic	Accession 	Number	Annals of Otology, Rhinology and Laryngology
932	What's in a Name? Provider Perception of Injured John Doe Patients	Accession 	Number	Journal of Surgical Research
933	A retrospective analysis of boarding times for adolescents in psychiatric crisis	Accession 	Number	Social Work in Health Care
934	COPD treatment pathways in France: a retrospective analysis of electronic medical record data from general practitioners	Accession 	Number	International Journal of Chronic Obstructive Pulmonary Disease
935	Health information technology and physician career satisfaction	Accession 	Number	Perspect Health Inf Manag
936	Physician Non-adherence to Colonoscopy Interval Guidelines in¬†the Veterans Affairs Healthcare System	Accession 	Number	Gastroenterology
937	Evaluating the ability of hospital information systems to establish evidence-based medicine in Iran	Accession 	Number	Journal of Medical Systems
938	Changes in the quality of care during progress from stage 1 to stage 2 of Meaningful Use	Accession 	Number	Journal of the American Medical Informatics Association
